8.399999999999998579e-01,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02
2.222222222222222307e-02,2.444444444444444642e-01,2.222222222222222307e-02,2.222222222222222307e-02,6.888888888888888840e-01
3.999999999999999389e-02,3.999999999999999389e-02,8.399999999999998579e-01,3.999999999999999389e-02,3.999999999999999389e-02
8.399999999999998579e-01,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02
3.999999999999999389e-02,3.999999999999999389e-02,4.399999999999999467e-01,4.399999999999999467e-01,3.999999999999999389e-02
2.222222222222222654e-02,2.222222222222222654e-02,9.111111111111112049e-01,2.222222222222222654e-02,2.222222222222222654e-02
8.399999999999998579e-01,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02
2.000000000000000389e-01,1.818181818181818440e-02,7.454545454545454808e-01,1.818181818181818440e-02,1.818181818181818440e-02
2.222222222222222654e-02,2.222222222222222654e-02,9.111111111111112049e-01,2.222222222222222654e-02,2.222222222222222654e-02
1.176470588235294101e-02,1.176470588235294101e-02,7.176470588235294157e-01,1.176470588235294101e-02,2.470588235294117752e-01
6.060606060606060601e-03,4.909090909090909061e-01,6.060606060606060601e-03,6.060606060606060601e-03,4.909090909090909061e-01
6.060606060606059733e-03,1.272727272727272596e-01,8.545454545454543860e-01,6.060606060606059733e-03,6.060606060606059733e-03
1.176470588235294448e-02,8.352941176470589646e-01,1.176470588235294448e-02,1.294117647058823928e-01,1.176470588235294448e-02
2.222222222222223348e-02,9.111111111111114269e-01,2.222222222222223348e-02,2.222222222222223348e-02,2.222222222222223348e-02
1.294117647058823650e-01,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,8.352941176470587425e-01
1.333333333333333592e-02,1.333333333333333592e-02,1.466666666666666952e-01,8.133333333333333526e-01,1.333333333333333592e-02
6.896551724137932673e-03,6.896551724137932673e-03,9.724137931034483318e-01,6.896551724137932673e-03,6.896551724137932673e-03
1.818181818181818440e-02,1.818181818181818440e-02,9.272727272727273595e-01,1.818181818181818440e-02,1.818181818181818440e-02
1.052631578947368744e-02,5.368421052631580093e-01,4.315789473684211175e-01,1.052631578947368744e-02,1.052631578947368744e-02
3.999999999999999389e-02,3.999999999999999389e-02,3.999999999999999389e-02,8.399999999999998579e-01,3.999999999999999389e-02
1.466666666666666674e-01,1.333333333333333419e-02,1.333333333333333419e-02,8.133333333333332416e-01,1.333333333333333419e-02
1.818181818181818440e-02,1.818181818181818440e-02,2.000000000000000389e-01,7.454545454545454808e-01,1.818181818181818440e-02
2.222222222222222307e-02,2.222222222222222307e-02,2.222222222222222307e-02,2.222222222222222307e-02,9.111111111111109828e-01
8.000000000000001901e-03,8.000000000000001901e-03,6.480000000000000204e-01,8.000000000000001901e-03,3.280000000000000138e-01
